"idhod","hodnota","stapro_kod","pohlavi_cis","pohlavi_kod","vek_cis","vek_kod","vuzemi_cis","vuzemi_kod","casref_od","casref_do","stapro_txt","pohlavi_txt","vek_txt","vuzemi_txt"
"763510376","76.3836948336793","5411","102","1","7700","400000600001000","65","2111","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Kralupy nad Vltavou"
"763510386","37.2766545662317","5411","102","2","7700","410045610046000","65","2112","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Kutná Hora"
"763510385","81.3985705806078","5411","102","2","7700","400000600001000","65","2112","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Kutná Hora"
"763510384","15.2263705520436","5411","102","1","7700","410065610066000","65","2112","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Kutná Hora"
"763510387","18.9989005323568","5411","102","2","7700","410065610066000","65","2112","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Kutná Hora"
"763510383","31.6263309413144","5411","102","1","7700","410045610046000","65","2112","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Kutná Hora"
"763510382","74.9219166756689","5411","102","1","7700","400000600001000","65","2112","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Kutná Hora"
"763510390","15.4517987290385","5411","102","1","7700","410065610066000","65","2113","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Lysá nad Labem"
"763510392","36.0014753825344","5411","102","2","7700","410045610046000","65","2113","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Lysá nad Labem"
"763510391","80.3412493977917","5411","102","2","7700","400000600001000","65","2113","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Lysá nad Labem"
"763510389","32.1249302790316","5411","102","1","7700","410045610046000","65","2113","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Lysá nad Labem"
"763510393","17.4162551036431","5411","102","2","7700","410065610066000","65","2113","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Lysá nad Labem"
"763510388","75.6527014375819","5411","102","1","7700","400000600001000","65","2113","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Lysá nad Labem"
"763510395","31.3409724829257","5411","102","1","7700","410045610046000","65","2114","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Mělník"
"763510399","18.6555558022615","5411","102","2","7700","410065610066000","65","2114","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Mělník"
"763510396","15.029283586727","5411","102","1","7700","410065610066000","65","2114","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Mělník"
"763510397","80.9539175728435","5411","102","2","7700","400000600001000","65","2114","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Mělník"
"763510394","74.9367291495991","5411","102","1","7700","400000600001000","65","2114","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Mělník"
"763510398","36.8932911708607","5411","102","2","7700","410045610046000","65","2114","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Mělník"
"763510405","19.6792023738172","5411","102","2","7700","410065610066000","65","2115","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Mladá Boleslav"
"763510400","77.3120541068958","5411","102","1","7700","400000600001000","65","2115","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Mladá Boleslav"
"763510403","81.8816067581346","5411","102","2","7700","400000600001000","65","2115","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Mladá Boleslav"
"763510404","37.7443178673474","5411","102","2","7700","410045610046000","65","2115","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Mladá Boleslav"
"763510402","17.1180011826927","5411","102","1","7700","410065610066000","65","2115","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Mladá Boleslav"
"763510401","33.8701346781093","5411","102","1","7700","410045610046000","65","2115","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Mladá Boleslav"
"763510407","31.6149251097185","5411","102","1","7700","410045610046000","65","2116","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Mnichovo Hradiště"
"763510409","81.3304038473559","5411","102","2","7700","400000600001000","65","2116","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Mnichovo Hradiště"
"763510408","15.2812300016781","5411","102","1","7700","410065610066000","65","2116","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Mnichovo Hradiště"
"763510406","75.5097727008421","5411","102","1","7700","400000600001000","65","2116","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Mnichovo Hradiště"
"763510410","37.1263723877089","5411","102","2","7700","410045610046000","65","2116","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Mnichovo Hradiště"
"763510411","18.6029002469495","5411","102","2","7700","410065610066000","65","2116","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Mnichovo Hradiště"
"763510415","80.5273442942313","5411","102","2","7700","400000600001000","65","2117","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Neratovice"
"763510416","36.2911680487442","5411","102","2","7700","410045610046000","65","2117","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Neratovice"
"763510413","33.2159153733033","5411","102","1","7700","410045610046000","65","2117","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Neratovice"
