"idhod","hodnota","duvernost","stapro_kod","stapro_txt","kat_cis","kat_kod","uzemiz_cis","uzemiz_kod","rok","uzemi_cis","uzemi_kod","uzemi_txt"
"761436049","8239","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1120","Praha 20"
"761434622","","duverny","2654","Počet turistů","154","1","5898","17","2012","72","1121","Praha 21"
"761439048","4498","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1122","Praha 22"
"760974655","7647044","verejny","2654","Počet turistů","154","1","5898","17","2012","97","19","Česká republika"
"761370591","4919457","verejny","2654","Počet turistů","154","1","5898","17","2012","100","3018","Hlavní město Praha"
"761215584","203515","verejny","2654","Počet turistů","154","1","5898","17","2012","100","3026","Středočeský kraj"
"761218529","336798","verejny","2654","Počet turistů","154","1","5898","17","2012","100","3034","Jihočeský kraj"
"761010920","204492","verejny","2654","Počet turistů","154","1","5898","17","2012","100","3042","Plzeňský kraj"
"760693545","515255","verejny","2654","Počet turistů","154","1","5898","17","2012","100","3051","Karlovarský kraj"
"761236526","143710","verejny","2654","Počet turistů","154","1","5898","17","2012","100","3069","Ústecký kraj"
"760880775","170427","verejny","2654","Počet turistů","154","1","5898","17","2012","100","3077","Liberecký kraj"
"760868130","229782","verejny","2654","Počet turistů","154","1","5898","17","2012","100","3085","Královéhradecký kraj"
"760870777","51338","verejny","2654","Počet turistů","154","1","5898","17","2012","100","3093","Pardubický kraj"
"761220490","67090","verejny","2654","Počet turistů","154","1","5898","17","2012","100","3107","Kraj Vysočina"
"760685689","452228","verejny","2654","Počet turistů","154","1","5898","17","2012","100","3115","Jihomoravský kraj"
"760678664","103236","verejny","2654","Počet turistů","154","1","5898","17","2012","100","3123","Olomoucký kraj"
"761121556","96688","verejny","2654","Počet turistů","154","1","5898","17","2012","100","3131","Zlínský kraj"
"761215585","153028","verejny","2654","Počet turistů","154","1","5898","17","2012","100","3140","Moravskoslezský kraj"
"761368138","15040","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40169","Benešov"
"761353242","18360","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40177","Beroun"
"760996725","8469","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40185","Kladno"
"760997830","4611","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40193","Kolín"
"760671590","10689","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40207","Kutná Hora"
"760671591","12705","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40215","Mělník"
"761118552","22744","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40223","Mladá Boleslav"
"760716498","17627","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40231","Nymburk"
"761368139","39417","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40240","Praha-východ"
"760663573","37246","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40258","Praha-západ"
"761368140","12501","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40266","Příbram"
"760700854","4106","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40274","Rakovník"
"760671592","91567","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40282","České Budějovice"
"760973720","173796","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40291","Český Krumlov"
"760671593","16928","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40304","Jindřichův Hradec"
"761370769","13815","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40312","Písek"
"760678087","21488","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40321","Prachatice"
"760663574","3131","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40339","Strakonice"
"761094587","16073","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40347","Tábor"
"761242678","7577","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40355","Domažlice"
"760700855","34839","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40363","Klatovy"
"760875477","126251","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40371","Plzeň-město"
"761115560","3860","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40380","Plzeň-jih"
"760993773","8003","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40398","Plzeň-sever"
"761365657","6763","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40401","Rokycany"
"760883066","17199","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40410","Tachov"
"760880523","255892","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40428","Cheb"
"760678088","241812","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40436","Karlovy Vary"
"760974591","17551","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40444","Sokolov"
"761221681","28828","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40452","Děčín"
"761010865","28569","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40461","Chomutov"
"761240560","14663","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40479","Litoměřice"
"761117453","8714","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40487","Louny"
"760708312","12408","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40495","Most"
"761242679","26936","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40509","Teplice"
"761097597","23592","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40517","Ústí nad Labem"
"760685563","17661","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40525","Česká Lípa"
"760885840","23664","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40533","Jablonec nad Nisou"
"761131404","55158","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40541","Liberec"
"761241565","73944","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40550","Semily"
"760716546","35766","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40568","Hradec Králové"
"761119494","15916","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40576","Jičín"
"760885841","15378","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40584","Náchod"
"760678089","13302","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40592","Rychnov nad Kněžnou"
"761250300","149420","verejny","2654","Počet turistů","154","1","5898","17","2012","101","40606","Trutnov"
